S0,mktIV,K,T,r,d
2367.94,0.41,1800,21,0.00728,0.0197
2367.94,0.3465,1900,21,0.00728,0.0197
2367.94,0.3073,2000,21,0.00728,0.0197
2367.94,0.2474,2100,21,0.00728,0.0197
2367.94,0.1767,2200,21,0.00728,0.0197
2367.94,0.1161,2300,21,0.00728,0.0197
2367.94,0.0786,2375,21,0.00728,0.0197
2367.94,0.0737,2400,21,0.00728,0.0197
2367.94,0.0734,2425,21,0.00728,0.0197
2367.94,0.0795,2450,21,0.00728,0.0197
2367.94,0.0896,2475,21,0.00728,0.0197
2367.94,0.1043,2500,21,0.00728,0.0197
2367.94,0.122,2525,21,0.00728,0.0197
2367.94,0.1268,2550,21,0.00728,0.0197
2367.94,0.1353,2575,21,0.00728,0.0197
2367.94,0.1449,2600,21,0.00728,0.0197
2367.94,0.4517,1500,49,0.00723,0.0197
2367.94,0.4028,1600,49,0.00723,0.0197
2367.94,0.3619,1700,49,0.00723,0.0197
2367.94,0.3252,1800,49,0.00723,0.0197
2367.94,0.2788,1900,49,0.00723,0.0197
2367.94,0.2375,2000,49,0.00723,0.0197
2367.94,0.1972,2100,49,0.00723,0.0197
2367.94,0.158,2200,49,0.00723,0.0197
2367.94,0.1213,2300,49,0.00723,0.0197
2367.94,0.0965,2375,49,0.00723,0.0197
2367.94,0.0902,2400,49,0.00723,0.0197
2367.94,0.0852,2425,49,0.00723,0.0197
2367.94,0.0815,2450,49,0.00723,0.0197
2367.94,0.0831,2475,49,0.00723,0.0197
2367.94,0.0818,2500,49,0.00723,0.0197
2367.94,0.0877,2525,49,0.00723,0.0197
2367.94,0.0946,2550,49,0.00723,0.0197
2367.94,0.1014,2575,49,0.00723,0.0197
2367.94,0.1102,2600,49,0.00723,0.0197
2367.94,0.5484,1100,77,0.00716,0.0197
2367.94,0.4969,1200,77,0.00716,0.0197
2367.94,0.4414,1300,77,0.00716,0.0197
2367.94,0.4126,1400,77,0.00716,0.0197
2367.94,0.376,1500,77,0.00716,0.0197
2367.94,0.3348,1600,77,0.00716,0.0197
2367.94,0.3091,1700,77,0.00716,0.0197
2367.94,0.2766,1800,77,0.00716,0.0197
2367.94,0.2443,1900,77,0.00716,0.0197
2367.94,0.2139,2000,77,0.00716,0.0197
2367.94,0.1834,2100,77,0.00716,0.0197
2367.94,0.1528,2200,77,0.00716,0.0197
2367.94,0.124,2300,77,0.00716,0.0197
2367.94,0.1038,2375,77,0.00716,0.0197
2367.94,0.098,2400,77,0.00716,0.0197
2367.94,0.0927,2425,77,0.00716,0.0197
2367.94,0.0891,2450,77,0.00716,0.0197
2367.94,0.0868,2475,77,0.00716,0.0197
2367.94,0.0866,2500,77,0.00716,0.0197
2367.94,0.0878,2525,77,0.00716,0.0197
2367.94,0.0892,2550,77,0.00716,0.0197
2367.94,0.092,2575,77,0.00716,0.0197
2367.94,0.0954,2600,77,0.00716,0.0197
2367.94,0.1001,2625,77,0.00716,0.0197
2367.94,0.1053,2650,77,0.00716,0.0197
2367.94,0.1127,2700,77,0.00716,0.0197
2367.94,0.5423,800,168,0.00865,0.0197
2367.94,0.4805,900,168,0.00865,0.0197
2367.94,0.4531,1000,168,0.00865,0.0197
2367.94,0.4055,1100,168,0.00865,0.0197
2367.94,0.3668,1200,168,0.00865,0.0197
2367.94,0.3462,1300,168,0.00865,0.0197
2367.94,0.3249,1400,168,0.00865,0.0197
2367.94,0.3019,1500,168,0.00865,0.0197
2367.94,0.2792,1600,168,0.00865,0.0197
2367.94,0.2578,1700,168,0.00865,0.0197
2367.94,0.2362,1800,168,0.00865,0.0197
2367.94,0.2156,1900,168,0.00865,0.0197
2367.94,0.1957,2000,168,0.00865,0.0197
2367.94,0.1755,2100,168,0.00865,0.0197
2367.94,0.1543,2200,168,0.00865,0.0197
2367.94,0.1336,2300,168,0.00865,0.0197
2367.94,0.1182,2375,168,0.00865,0.0197
2367.94,0.1135,2400,168,0.00865,0.0197
2367.94,0.109,2425,168,0.00865,0.0197
2367.94,0.1046,2450,168,0.00865,0.0197
2367.94,0.1005,2475,168,0.00865,0.0197
2367.94,0.0971,2500,168,0.00865,0.0197
2367.94,0.0946,2525,168,0.00865,0.0197
2367.94,0.0925,2550,168,0.00865,0.0197
2367.94,0.0911,2575,168,0.00865,0.0197
2367.94,0.0906,2600,168,0.00865,0.0197
2367.94,0.0907,2625,168,0.00865,0.0197
2367.94,0.0911,2650,168,0.00865,0.0197
2367.94,0.0935,2700,168,0.00865,0.0197
2367.94,0.0972,2750,168,0.00865,0.0197
2367.94,0.1008,2800,168,0.00865,0.0197
2367.94,0.5215,600,259,0.00939,0.0197
2367.94,0.5144,700,259,0.00939,0.0197
2367.94,0.4509,800,259,0.00939,0.0197
2367.94,0.4167,900,259,0.00939,0.0197
2367.94,0.3894,1000,259,0.00939,0.0197
2367.94,0.3663,1100,259,0.00939,0.0197
2367.94,0.3426,1200,259,0.00939,0.0197
2367.94,0.3209,1300,259,0.00939,0.0197
2367.94,0.299,1400,259,0.00939,0.0197
2367.94,0.2789,1500,259,0.00939,0.0197
2367.94,0.2602,1600,259,0.00939,0.0197
2367.94,0.2423,1700,259,0.00939,0.0197
2367.94,0.2237,1800,259,0.00939,0.0197
2367.94,0.2078,1900,259,0.00939,0.0197
2367.94,0.1907,2000,259,0.00939,0.0197
2367.94,0.175,2100,259,0.00939,0.0197
2367.94,0.1576,2200,259,0.00939,0.0197
2367.94,0.1406,2300,259,0.00939,0.0197
2367.94,0.1282,2375,259,0.00939,0.0197
2367.94,0.1243,2400,259,0.00939,0.0197
2367.94,0.1204,2425,259,0.00939,0.0197
2367.94,0.1165,2450,259,0.00939,0.0197
2367.94,0.1127,2475,259,0.00939,0.0197
2367.94,0.1092,2500,259,0.00939,0.0197
2367.94,0.1061,2525,259,0.00939,0.0197
2367.94,0.1029,2550,259,0.00939,0.0197
2367.94,0.1005,2575,259,0.00939,0.0197
2367.94,0.0986,2600,259,0.00939,0.0197
2367.94,0.0965,2625,259,0.00939,0.0197
2367.94,0.0953,2650,259,0.00939,0.0197
2367.94,0.0943,2675,259,0.00939,0.0197
2367.94,0.094,2700,259,0.00939,0.0197
2367.94,0.0937,2750,259,0.00939,0.0197
2367.94,0.094,2800,259,0.00939,0.0197
2367.94,0.0974,2900,259,0.00939,0.0197
2367.94,0.1079,3000,259,0.00939,0.0197
2367.94,0.5226,500,441,0.01118,0.0197
2367.94,0.4678,600,441,0.01118,0.0197
2367.94,0.424,700,441,0.01118,0.0197
2367.94,0.4027,800,441,0.01118,0.0197
2367.94,0.3641,900,441,0.01118,0.0197
2367.94,0.3448,1000,441,0.01118,0.0197
2367.94,0.3252,1100,441,0.01118,0.0197
2367.94,0.3083,1200,441,0.01118,0.0197
2367.94,0.2912,1300,441,0.01118,0.0197
2367.94,0.2751,1400,441,0.01118,0.0197
2367.94,0.2596,1500,441,0.01118,0.0197
2367.94,0.2458,1600,441,0.01118,0.0197
2367.94,0.2313,1700,441,0.01118,0.0197
2367.94,0.2178,1800,441,0.01118,0.0197
2367.94,0.2044,1900,441,0.01118,0.0197
2367.94,0.1909,2000,441,0.01118,0.0197
2367.94,0.1778,2100,441,0.01118,0.0197
2367.94,0.1647,2200,441,0.01118,0.0197
2367.94,0.152,2300,441,0.01118,0.0197
2367.94,0.1432,2375,441,0.01118,0.0197
2367.94,0.1401,2400,441,0.01118,0.0197
2367.94,0.137,2425,441,0.01118,0.0197
2367.94,0.1338,2450,441,0.01118,0.0197
2367.94,0.1309,2475,441,0.01118,0.0197
2367.94,0.128,2500,441,0.01118,0.0197
2367.94,0.125,2525,441,0.01118,0.0197
2367.94,0.1225,2550,441,0.01118,0.0197
2367.94,0.1198,2575,441,0.01118,0.0197
2367.94,0.1172,2600,441,0.01118,0.0197
2367.94,0.1141,2625,441,0.01118,0.0197
2367.94,0.1123,2650,441,0.01118,0.0197
2367.94,0.1079,2700,441,0.01118,0.0197
2367.94,0.1045,2750,441,0.01118,0.0197
2367.94,0.1017,2800,441,0.01118,0.0197
2367.94,0.0999,2850,441,0.01118,0.0197
2367.94,0.0991,2900,441,0.01118,0.0197
2367.94,0.1004,3000,441,0.01118,0.0197
2367.94,0.4157,500,630,0.01203,0.0197
2367.94,0.4007,600,630,0.01203,0.0197
2367.94,0.3749,700,630,0.01203,0.0197
2367.94,0.3622,800,630,0.01203,0.0197
2367.94,0.3323,900,630,0.01203,0.0197
2367.94,0.3219,1000,630,0.01203,0.0197
2367.94,0.299,1100,630,0.01203,0.0197
2367.94,0.2905,1200,630,0.01203,0.0197
2367.94,0.2727,1300,630,0.01203,0.0197
2367.94,0.2594,1400,630,0.01203,0.0197
2367.94,0.248,1500,630,0.01203,0.0197
2367.94,0.2354,1600,630,0.01203,0.0197
2367.94,0.2238,1700,630,0.01203,0.0197
2367.94,0.2128,1800,630,0.01203,0.0197
2367.94,0.2015,1900,630,0.01203,0.0197
2367.94,0.1914,2000,630,0.01203,0.0197
2367.94,0.1806,2100,630,0.01203,0.0197
2367.94,0.1695,2200,630,0.01203,0.0197
2367.94,0.1593,2300,630,0.01203,0.0197
2367.94,0.1525,2375,630,0.01203,0.0197
2367.94,0.1497,2400,630,0.01203,0.0197
2367.94,0.1474,2425,630,0.01203,0.0197
2367.94,0.1443,2450,630,0.01203,0.0197
2367.94,0.1429,2475,630,0.01203,0.0197
2367.94,0.1399,2500,630,0.01203,0.0197
2367.94,0.1376,2525,630,0.01203,0.0197
2367.94,0.1356,2550,630,0.01203,0.0197
2367.94,0.1335,2575,630,0.01203,0.0197
2367.94,0.1314,2600,630,0.01203,0.0197
2367.94,0.1294,2625,630,0.01203,0.0197
2367.94,0.1285,2650,630,0.01203,0.0197
2367.94,0.1254,2675,630,0.01203,0.0197
2367.94,0.1237,2700,630,0.01203,0.0197
2367.94,0.1205,2750,630,0.01203,0.0197
2367.94,0.1174,2800,630,0.01203,0.0197
2367.94,0.1117,2900,630,0.01203,0.0197
2367.94,0.1079,3000,630,0.01203,0.0197
2367.94,0.1066,3100,630,0.01203,0.0197
2367.94,0.1063,3200,630,0.01203,0.0197
2367.94,0.1186,3400,630,0.01203,0.0197
2367.94,0.1175,3500,630,0.01203,0.0197
2367.94,0.3538,500,994,0.01434,0.0197
2367.94,0.3329,700,994,0.01434,0.0197
2367.94,0.3171,800,994,0.01434,0.0197
2367.94,0.3024,900,994,0.01434,0.0197
2367.94,0.295,1000,994,0.01434,0.0197
2367.94,0.2783,1100,994,0.01434,0.0197
2367.94,0.2678,1200,994,0.01434,0.0197
2367.94,0.2578,1300,994,0.01434,0.0197
2367.94,0.2476,1400,994,0.01434,0.0197
2367.94,0.238,1500,994,0.01434,0.0197
2367.94,0.2291,1600,994,0.01434,0.0197
2367.94,0.2199,1700,994,0.01434,0.0197
2367.94,0.2109,1800,994,0.01434,0.0197
2367.94,0.2014,1900,994,0.01434,0.0197
2367.94,0.1942,2000,994,0.01434,0.0197
2367.94,0.1859,2100,994,0.01434,0.0197
2367.94,0.1779,2200,994,0.01434,0.0197
2367.94,0.1689,2300,994,0.01434,0.0197
2367.94,0.1651,2375,994,0.01434,0.0197
2367.94,0.1634,2400,994,0.01434,0.0197
2367.94,0.1612,2425,994,0.01434,0.0197
2367.94,0.1599,2450,994,0.01434,0.0197
2367.94,0.1583,2475,994,0.01434,0.0197
2367.94,0.1566,2500,994,0.01434,0.0197
2367.94,0.155,2525,994,0.01434,0.0197
2367.94,0.1536,2550,994,0.01434,0.0197
2367.94,0.1518,2575,994,0.01434,0.0197
2367.94,0.1501,2600,994,0.01434,0.0197
2367.94,0.1485,2625,994,0.01434,0.0197
2367.94,0.1475,2650,994,0.01434,0.0197
2367.94,0.1439,2700,994,0.01434,0.0197
2367.94,0.1409,2750,994,0.01434,0.0197
2367.94,0.1381,2800,994,0.01434,0.0197
2367.94,0.1355,2850,994,0.01434,0.0197
2367.94,0.1332,2900,994,0.01434,0.0197
2367.94,0.1287,3000,994,0.01434,0.0197
2367.94,0.1246,3100,994,0.01434,0.0197
2367.94,0.1218,3200,994,0.01434,0.0197
2367.94,0.1195,3300,994,0.01434,0.0197
2367.94,0.1145,3400,994,0.01434,0.0197